DFE	s
DFE1	-0.3840229944558814
DFE1	-0.4733344647800549
DFE1	-0.5041086002718658
DFE1	-0.818799531715922
DFE1	-0.3099097996717318
DFE1	-0.4167043201159686
DFE1	-0.3086750546004623
DFE1	-0.9296225107042119
DFE1	-0.6151257904712111
DFE1	-0.6111038555623963
DFE1	-0.27368986541405316
DFE1	-0.44749320230912415
DFE1	-0.8495871059130877
DFE1	-0.42708164053037756
DFE1	-0.6422386553371324
DFE1	-0.18651146246120331
DFE1	-0.8872715937672183
DFE1	-0.8105010062688962
DFE1	-0.3904113373951986
DFE1	-0.37143576683010904
DFE1	-0.15039802237879485
DFE1	-0.5957368003437296
DFE1	-0.999722323473543
DFE1	-0.9638568793889135
DFE1	-0.5626688088988885
DFE1	-0.6443095187190919
DFE1	-0.7019916546763851
DFE1	-0.4798474499722942
DFE1	-0.2808974318904802
DFE1	-0.7675260027870536
DFE1	-0.7386624661739916
DFE1	-0.9400176694849506
DFE1	-0.255295705772005
DFE1	-0.7861442163586616
DFE1	-0.18293985996861006
DFE1	-0.8483349977293984
DFE1	-0.6598100947216152
DFE1	-0.7863688362762332
DFE1	-0.6885122019564733
DFE1	-0.5937947154743597
DFE1	-0.47098366930149493
DFE1	-0.8995955053716898
DFE1	-0.4565700677223503
DFE1	-0.3937798907980322
DFE1	-0.6619560241233557
DFE1	-0.27136178531218313
DFE1	-0.4119741632137447
DFE1	-0.33763250834308567
DFE1	-0.2942146442830562
DFE1	-0.7566258393693716
DFE1	-0.10487892143428323
DFE1	-0.5336353461723775
DFE1	-0.7181278647622094
DFE1	-0.5260447168722748
DFE1	-0.5451468885410578
DFE1	-0.9075012569315731
DFE1	-0.40503671320620926
DFE1	-0.8467782446648926
DFE1	-0.7594756487291306
DFE1	-0.9447548391064629
DFE1	-0.7331043295795098
DFE1	-0.9750257190549746
DFE1	-0.3297851004870608
DFE1	-0.43410471649840476
DFE1	-0.18181858889292923
DFE1	-0.3513191350968554
DFE1	-0.4532580883940681
DFE1	-0.20660813269205391
DFE1	-0.9213822147576138
DFE1	-0.48180848506744944
DFE1	-0.7571114675607532
DFE1	-0.619987037195824
DFE1	-0.737724985089153
DFE1	-0.7397211625706404
DFE1	-0.997854040004313
DFE1	-0.7991861953400076
DFE1	-0.649632936459966
DFE1	-0.8331357871880755
DFE1	-0.8753970244666561
DFE1	-0.425351428380236
DFE1	-0.997505284100771
DFE1	-0.47978847951162606
DFE1	-0.1677014734596014
DFE1	-0.3609688507858664
DFE1	-0.2411699192598462
DFE1	-0.6085945937084034
DFE1	-0.4559376212768257
DFE1	-0.8115421178517863
DFE1	-0.2073130385950207
DFE1	-0.7324428783962502
DFE1	-0.5041107366094366
DFE1	-0.3501984438393265
DFE1	-0.3238203630084172
DFE1	-0.3470368821639568
DFE1	-0.5783471960807218
DFE1	-0.24762943608220667
DFE1	-0.6665678207995369
DFE1	-0.7438432038063183
DFE1	-0.1966024933150038
DFE1	-0.13553434277418996
DFE1	-0.8771616675890982
DFE1	-0.9707924220943823
DFE1	-0.9178237079409882
DFE1	-0.11594890430569649
DFE1	-0.35085775281768294
DFE1	-0.5600448844954371
DFE1	-0.3512594230473042
DFE1	-0.7031472555128857
DFE1	-0.21638864651322365
DFE1	-0.1981695408234373
DFE1	-0.7351428467780352
DFE1	-0.7142215091735125
DFE1	-0.15549669845495373
DFE1	-0.939768585935235
DFE1	-0.8251697100233286
DFE1	-0.8389139089267701
DFE1	-0.912929549254477
DFE1	-0.5670152923557907
DFE1	-0.5547984281321987
DFE1	-0.5904180297395214
DFE1	-0.474244743026793
DFE1	-0.5976624139351769
DFE1	-0.8677809956949204
DFE1	-0.946658541355282
DFE1	-0.49040750006679446
DFE1	-0.1786458591697737
DFE1	-0.513481758418493
DFE1	-0.22795722270384433
DFE1	-0.1492279233643785
DFE1	-0.4439683922100812
DFE1	-0.8957998191937804
DFE1	-0.7376303326571361
DFE1	-0.2114085540408268
DFE1	-0.32654464100487524
DFE1	-0.8297983792610466
DFE1	-0.4581054670503363
DFE1	-0.7038280020467937
DFE1	-0.5994926433544605
DFE1	-0.7556277235969902
DFE1	-0.8605221969308332
DFE1	-0.8547297899145633
DFE1	-0.7534556529251859
DFE1	-0.22786615605000404
DFE1	-0.9357170826056972
DFE1	-0.260137061192654
DFE1	-0.9202557521406561
DFE1	-0.28584478024858984
DFE1	-0.9520229388494045
DFE1	-0.8124889187747613
DFE1	-0.23476677513681354
DFE1	-0.29885705544147634
DFE1	-0.8820216524181888
DFE1	-0.4342881171498447
DFE1	-0.816204337333329
DFE1	-0.16340505448170006
DFE1	-0.62123770264443
DFE1	-0.1739371513482183
DFE1	-0.22723323015961794
DFE1	-0.12418053441215304
DFE1	-0.8551970977801829
DFE1	-0.7524657457601279
DFE1	-0.2846713871462271
DFE1	-0.20059719248674812
DFE1	-0.8455262770876288
DFE1	-0.7054012410575523
DFE1	-0.9627469052327797
DFE1	-0.4057621920714155
DFE1	-0.2272961149690672
DFE1	-0.13775829470250756
DFE1	-0.1955654997611418
DFE1	-0.37568677433300757
DFE1	-0.28359723221510647
DFE1	-0.5133631366770715
DFE1	-0.4289180907886475
DFE1	-0.39935412923805413
DFE1	-0.9408947015414014
DFE1	-0.32416071689222004
DFE1	-0.44411734680179504
DFE1	-0.5930709974374622
DFE1	-0.33778141264338046
DFE1	-0.45437806698027994
DFE1	-0.37114917049184437
DFE1	-0.19130304236896334
DFE1	-0.22182665430009363
DFE1	-0.814128851541318
DFE1	-0.65637073267716906
DFE1	-0.2536023991415277
DFE1	-0.17929212443996223
DFE1	-0.5032073610695078
DFE1	-0.5379142532590777
DFE1	-0.8282410235377029
DFE1	-0.8051601384533569
DFE1	-0.49763466573785986
DFE1	-0.6694223818602041
DFE1	-0.22477416899055236
DFE1	-0.45843411749228835
DFE1	-0.9989199781557545
DFE1	-0.28438416614662854
DFE1	-0.16995667605660858
DFE1	-0.20295907659456136
DFE1	-0.21844033021479847
DFE1	-0.30230559315532446
DFE1	-0.2870947694871574
DFE1	-0.49194921830203386
DFE1	-0.8102174496278167
DFE1	-0.32315092973876747
DFE1	-0.19208961105905475
DFE1	-0.4029464840656146
DFE1	-0.9596537444973364
DFE1	-0.47250532293692227
DFE1	-0.4968317068647593
DFE1	-0.8316697313450276
DFE1	-0.4444402271416038
DFE1	-0.8689909626031295
DFE1	-0.4492943666409701
DFE1	-0.893962552328594
DFE1	-0.11915789267513899
DFE1	-0.7436332997865975
DFE1	-0.29858130507636815
DFE1	-0.626110220933333
DFE1	-0.22641976058948787
DFE1	-0.17497810074128206
DFE1	-0.987600694433786
DFE1	-0.7374136363621802
DFE1	-0.5532713947817682
DFE1	-0.4451119174482301
DFE1	-0.9861000313889235
DFE1	-0.534459071001038
DFE1	-0.8835253666853532
DFE1	-0.5631405734224244
DFE1	-0.8983947899891064
DFE1	-0.2879584393231198
DFE1	-0.8728080435888842
DFE1	-0.7727175541222095
DFE1	-0.6421135034644976
DFE1	-0.4683715088991448
DFE1	-0.23166313744150102
DFE1	-0.6912384809227661
DFE1	-0.12198043591342866
DFE1	-0.25962228178977964
DFE1	-0.8708036602241919
DFE1	-0.27188335636164995
DFE1	-0.8088796348078177
DFE1	-0.1655797449173405
DFE1	-0.594074856908992
DFE1	-0.861867854068987
DFE1	-0.36731271494645623
DFE1	-0.5234694810584187
DFE1	-0.9511628334177658
DFE1	-0.6831380720250309
DFE1	-0.33709676957223567
DFE1	-0.2579223325010389
DFE1	-0.5441682931734249
DFE1	-0.43768412086647
DFE1	-0.6651843327796086
DFE1	-0.32233281889930365
DFE1	-0.6784061494749039
DFE1	-0.17045716913416975
DFE1	-0.6106673080241307
DFE1	-0.9419506386155263
DFE1	-0.8881593867205083
DFE1	-0.3233963690465316
DFE1	-0.5282359728822484
DFE1	-0.7515862575965002
DFE1	-0.607093086396344
DFE1	-0.6591340405866504
DFE1	-0.8982418864732609
DFE1	-0.26518573523499067
DFE1	-0.44127263384871185
DFE1	-0.12843383750878268
DFE1	-0.18028031918220222
DFE1	-0.13638153672218323
DFE1	-0.962283229874447
DFE1	-0.719965628045611
DFE1	-0.46155163247603925
DFE1	-0.2754932983079925
DFE1	-0.9369186508469284
DFE1	-0.1573194153839722
DFE1	-0.3350239506922662
DFE1	-0.13399275487754492
DFE1	-0.8532806171104312
DFE1	-0.601462572067976
DFE1	-0.5166810665279626
DFE1	-0.9969235783442855
DFE1	-0.7407269155140965
DFE1	-0.971318753855303
DFE1	-0.5352549264207482
DFE1	-0.9655363125028089
DFE1	-0.48304294452536845
DFE1	-0.847488170908764
DFE1	-0.7907066140789538
DFE1	-0.10837207308504726
DFE1	-0.36203459468670185
DFE1	-0.26546770329587155
DFE1	-0.896411212394014
DFE1	-0.6262259433744475
DFE1	-0.7448183322092519
DFE1	-0.327581049920991
DFE1	-0.7619483114220202
DFE1	-0.20085732548031954
DFE1	-0.3711061895592138
DFE1	-0.5345543399220332
DFE1	-0.43998250681906936
DFE1	-0.49036367780063295
DFE1	-0.7375975024187937
DFE1	-0.5973235472105443
DFE1	-0.500085693062283
DFE1	-0.26621304580476135
DFE1	-0.18662527047563338
DFE1	-0.3078671877039596
DFE1	-0.412491289130412
DFE1	-0.377840419486165
DFE1	-0.2910602851770818
DFE1	-0.5076821733498946
DFE1	-0.4716902643674984
DFE1	-0.21070186363067478
DFE1	-0.5777326014125719
DFE1	-0.35244853326585146
DFE1	-0.43245326972100884
DFE1	-0.94308972354047
DFE1	-0.8879740988835693
DFE1	-0.23912360772956165
DFE1	-0.3294622320914641
DFE1	-0.5168612554436549
DFE1	-0.36675705511588597
DFE1	-0.6240828302921727
DFE1	-0.6170877360505983
DFE1	-0.5785721984226256
DFE1	-0.7448559669544921
DFE1	-0.12951268588658416
DFE1	-0.8007782988715917
DFE1	-0.6538170511368662
DFE1	-0.8685908453306184
DFE1	-0.9736897528637201
DFE1	-0.6207083410350606
DFE1	-0.3003603277727961
DFE1	-0.6715160785941408
DFE1	-0.9427179094403982
DFE1	-0.6760689410613849
DFE1	-0.7751845644786954
DFE1	-0.2687506525311619
DFE1	-0.6683078519301489
DFE1	-0.6614318058593198
DFE1	-0.20619625267572694
DFE1	-0.3622756969882175
DFE1	-0.6453316065249964
DFE1	-0.5292748488020151
DFE1	-0.23500440544448786
DFE1	-0.6075723361689598
DFE1	-0.5961498798104004
DFE1	-0.5372381708351894
DFE1	-0.29515384722035376
DFE1	-0.1775147181935608
DFE1	-0.8547015246702359
DFE1	-0.812516457727179
DFE1	-0.46972166900523005
DFE1	-0.136844749818556
DFE1	-0.7220396442804485
DFE1	-0.46518728004302823
DFE1	-0.662651150021702
DFE1	-0.671099525457248
DFE1	-0.7464436012553051
DFE1	-0.5352748579578475
DFE1	-0.6304422240238636
DFE1	-0.5305331183131784
DFE1	-0.5846514450618997
DFE1	-0.4339359257137403
DFE1	-0.8527120258891955
DFE1	-0.6464302810374647
DFE1	-0.10345769766718149
DFE1	-0.8665373031515629
DFE1	-0.6739222287898883
DFE1	-0.7405541299143805
DFE1	-0.6948303112527355
DFE1	-0.5685394253581761
