model	sample_size	rep	mut_count	mean_MAF	median_MAF	sd_MAF	Q1_MAF	Q3_MAF
Emp/BloomDFE	100	1	29	0.08344827586206897	0.04	0.10427559165393561	0.03	0.07
Emp/BloomDFE	100	2	29	0.12586206896551724	0.06	0.1453448421950685	0.04	0.1
Emp/BloomDFE	100	3	35	0.08142857142857143	0.05	0.07260460434041749	0.035	0.10500000000000001
Emp/BloomDFE	100	4	32	0.1378125	0.08999999999999998	0.12468629991741983	0.04	0.18
Emp/BloomDFE	100	5	29	0.12137931034482759	0.04	0.12802689834369724	0.04	0.16
Emp/BloomDFE	100	6	31	0.0964516129032258	0.04	0.11238470794839112	0.03	0.1
Emp/BloomDFE	100	7	36	0.08388888888888889	0.055	0.0765796607751983	0.03	0.09
Emp/BloomDFE	100	8	25	0.076	0.05	0.07593857166596345	0.030000000000000027	0.08
Emp/BloomDFE	100	9	26	0.09153846153846154	0.07	0.08083030657827829	0.04	0.1
Emp/BloomDFE	100	10	38	0.07394736842105264	0.04	0.08635374993607839	0.03	0.07749999999999999
Emp/BloomDFE	100	11	27	0.10185185185185186	0.05	0.1275821616732056	0.04	0.08499999999999999
Emp/BloomDFE	100	12	36	0.10416666666666667	0.06	0.10916239540898949	0.04	0.10250000000000001
Emp/BloomDFE	100	13	30	0.08866666666666667	0.04	0.10685902196217519	0.03	0.09500000000000001
Emp/BloomDFE	100	14	36	0.115	0.05	0.12126711955725789	0.03	0.15000000000000002
Emp/BloomDFE	100	15	32	0.108125	0.065	0.08283047203037172	0.04	0.1725
Emp/BloomDFE	100	16	44	0.09772727272727272	0.07499999999999998	0.08977656078736597	0.03	0.13
Emp/BloomDFE	100	17	28	0.10928571428571429	0.065	0.10923737562210212	0.0375	0.14500000000000002
Emp/BloomDFE	100	18	33	0.10909090909090909	0.07999999999999996	0.09507771940508843	0.03	0.18
Emp/BloomDFE	100	19	27	0.10629629629629629	0.05	0.13826251920359406	0.03	0.07500000000000001
Emp/BloomDFE	100	20	21	0.12476190476190477	0.050000000000000044	0.13485618441951586	0.03	0.15
Emp/BloomDFE	100	21	25	0.11560000000000001	0.08	0.11280809663613099	0.04	0.14
Emp/BloomDFE	100	22	26	0.06269230769230769	0.05	0.05882568774320907	0.04	0.06
Emp/BloomDFE	100	23	26	0.0673076923076923	0.04	0.050561462977860315	0.03	0.0975
Emp/BloomDFE	100	24	32	0.09406250000000001	0.04	0.11477493755311993	0.03	0.08249999999999999
Emp/BloomDFE	100	25	28	0.08178571428571428	0.04	0.093691913221871	0.03	0.07
Emp/BloomDFE	100	26	33	0.1296969696969697	0.08	0.13208626084127867	0.05	0.11
Emp/BloomDFE	100	27	32	0.1040625	0.055	0.1039807480630041	0.03	0.14750000000000002
Emp/BloomDFE	100	28	48	0.079375	0.05	0.06749014900536193	0.0375	0.0925
Emp/BloomDFE	100	29	36	0.09916666666666667	0.05	0.09607660633949495	0.03000000000000002	0.125
Emp/BloomDFE	100	30	28	0.13035714285714287	0.04	0.15435606127001836	0.03	0.14250000000000002
Emp/BloomDFE	100	31	29	0.11172413793103449	0.06	0.11514180590897598	0.04	0.12
Emp/BloomDFE	100	32	26	0.10307692307692307	0.05	0.11523087193176074	0.04	0.10500000000000001
Emp/BloomDFE	100	33	34	0.09470588235294118	0.05	0.10714576008290443	0.04	0.08
Emp/BloomDFE	100	34	41	0.10439024390243903	0.04	0.11764456597071972	0.04	0.15
Emp/BloomDFE	100	35	29	0.0903448275862069	0.06	0.09439592752341028	0.04	0.08
Emp/BloomDFE	100	36	37	0.10378378378378379	0.05	0.12684967812667422	0.04	0.09
Emp/BloomDFE	100	37	27	0.1325925925925926	0.07	0.12978066089760812	0.03	0.185
Emp/BloomDFE	100	38	28	0.15285714285714286	0.1	0.11837971369181721	0.057499999999999996	0.2625
