model	sample_size	num_bootstraps	min_defined_codons	num_codons	N_sites	S_sites	N_diffs	S_diffs	num_replicates	dNdS	dN_m_dS	boot_dN_SE	boot_dS_SE	boot_dN_over_dS_SE	boot_dN_over_dS_P	boot_dN_m_dS_SE	P_value	boot_dN_gt_dS_count	boot_dN_eq_dS_count	boot_dN_lt_dS_count	ASL_dN_gt_dS_P	ASL_dN_lt_dS_P	P_ALS	Q_ASL_BH	Q_Z_BH	site_type	pi	pi_SE
Emp/BloomDFE	100	1000	6	10000	20000	10000	3.30220808080809	1.89990203020303	1000	0.869046937240023	-2.48797989798984e-5	4.55375878027304e-6	7.67698238736212e-6	0.0430071854831286	8.492773972326448e-91	8.87271831110751e-6	0.00504606119062996	2	0	998	0.998	0.002	0.004	0.0043076923076923075	0.005434219743755341	dN	1.65110404040405e-4	4.55375878027304e-6
Emp/BloomDFE	100	1000	6	10000	20000	10000	3.30220808080809	1.89990203020303	1000	0.869046937240023	-2.48797989798984e-5	4.55375878027304e-6	7.67698238736212e-6	0.0430071854831286	8.492773972326448e-91	8.87271831110751e-6	0.00504606119062996	2	0	998	0.998	0.002	0.004	0.0043076923076923075	0.005434219743755341	dS	1.89990203020303e-4	7.67698238736212e-6
Emp/BloomDFE	1000	1000	6	10000	20000	10000	3.02247149149148	1.80207076105808	1000	0.838610657474084	-2.90835015312341e-5	4.37013854112363e-6	7.30528925535292e-6	0.0438867333685842	2.1445277335536097e-81	8.69496371459928e-6	8.23218883144583e-4	0	0	1000	1	0	0.001	0.0012727272727272728	0.0010477331240021964	dN	1.51123574574574e-4	4.37013854112363e-6
Emp/BloomDFE	1000	1000	6	10000	20000	10000	3.02247149149148	1.80207076105808	1000	0.838610657474084	-2.90835015312341e-5	4.37013854112363e-6	7.30528925535292e-6	0.0438867333685842	2.1445277335536097e-81	8.69496371459928e-6	8.23218883144583e-4	0	0	1000	1	0	0.001	0.0012727272727272728	0.0010477331240021964	dS	1.80207076105808e-4	7.30528925535292e-6
Emp/Flynn10pct	100	1000	6	10000	20000	10000	14.8951354935495	1.68187844784479	1000	4.42812484833151	5.76568929892996e-4	1.11317633544621e-5	6.77758963311285e-6	0.192073363395335	1.3305793976445395e-117	1.27248293067431e-5	0	1000	0	0	0	1	0.001	0.0012727272727272728	0	dN	7.44756774677475e-4	1.11317633544621e-5
Emp/Flynn10pct	100	1000	6	10000	20000	10000	14.8951354935495	1.68187844784479	1000	4.42812484833151	5.76568929892996e-4	1.11317633544621e-5	6.77758963311285e-6	0.192073363395335	1.3305793976445395e-117	1.27248293067431e-5	0	1000	0	0	0	1	0.001	0.0012727272727272728	0	dS	1.68187844784479e-4	6.77758963311285e-6
Emp/Flynn10pct	1000	1000	6	10000	20000	10000	14.6496348552513	1.56128534534534	1000	4.69153025067655	5.76353208228032e-4	1.10472143513692e-5	6.70207601708006e-6	0.204273511268288	9.987849914138437e-117	1.28090868624449e-5	0	1000	0	0	0	1	0.001	0.0012727272727272728	0	dN	7.32481742762567e-4	1.10472143513692e-5
Emp/Flynn10pct	1000	1000	6	10000	20000	10000	14.6496348552513	1.56128534534534	1000	4.69153025067655	5.76353208228032e-4	1.10472143513692e-5	6.70207601708006e-6	0.204273511268288	9.987849914138437e-117	1.28090868624449e-5	0	1000	0	0	0	1	0.001	0.0012727272727272728	0	dS	1.56128534534534e-4	6.70207601708006e-6
Emp/Flynn1pct	100	1000	6	10000	20000	10000	3.78011685168517	2.11174275427545	1000	0.89502304294212	-2.21684328432862e-5	4.64466558839686e-6	5.94448241081686e-6	0.0329961547540587	4.985034400885489e-162	7.81892918196516e-6	0.00457932498475596	2	0	998	0.998	0.002	0.004	0.0043076923076923075	0.005342545815548621	dN	1.89005842584258e-4	4.64466558839686e-6
Emp/Flynn1pct	100	1000	6	10000	20000	10000	3.78011685168517	2.11174275427545	1000	0.89502304294212	-2.21684328432862e-5	4.64466558839686e-6	5.94448241081686e-6	0.0329961547540587	4.985034400885489e-162	7.81892918196516e-6	0.00457932498475596	2	0	998	0.998	0.002	0.004	0.0043076923076923075	0.005342545815548621	dS	2.11174275427545e-4	5.94448241081686e-6
Emp/Flynn1pct	1000	1000	6	10000	20000	10000	3.52534971208832	1.83350693029663	1000	0.96136798117201006	-7.08320742524689e-6	4.50981986552319e-6	5.53878676116953e-6	0.038089916806973	1.4793600686682295e-140	7.55676208984685e-6	0.348586956647142	191	0	809	0.809	0.191	0.382	0.382	0.348586956647142	dN	1.76267485604416e-4	4.50981986552319e-6
Emp/Flynn1pct	1000	1000	6	10000	20000	10000	3.52534971208832	1.83350693029663	1000	0.96136798117201006	-7.08320742524689e-6	4.50981986552319e-6	5.53878676116953e-6	0.038089916806973	1.4793600686682295e-140	7.55676208984685e-6	0.348586956647142	191	0	809	0.809	0.191	0.382	0.382	0.348586956647142	dS	1.83350693029663e-4	5.53878676116953e-6
Neu/DFE1	100	1000	6	10000	20000	10000	0.080969696969697	0.118882828282828	1000	0.340544122894965	-7.83979797979799e-6	6.20372360417753e-7	1.52876433937994e-6	0.0696601298643486	1.01528865881493e-6	1.50951485799298e-6	2.06279568764465e-7	0	0	1000	1	0	0.001	0.0012727272727272728	3.6098924533781375e-7	dN	4.04848484848485e-6	6.20372360417753e-7
Neu/DFE1	100	1000	6	10000	20000	10000	0.080969696969697	0.118882828282828	1000	0.340544122894965	-7.83979797979799e-6	6.20372360417753e-7	1.52876433937994e-6	0.0696601298643486	1.01528865881493e-6	1.50951485799298e-6	2.06279568764465e-7	0	0	1000	1	0	0.001	0.0012727272727272728	3.6098924533781375e-7	dS	1.18882828282828e-5	1.52876433937994e-6
Neu/DFE1	1000	1000	6	10000	20000	10000	0.0710596396396396	0.0873633633633633	1000	0.406690155369174	-5.18335435435435e-6	5.94206773508442e-7	1.36412182062637e-6	0.0902219588528814	6.55456767822124e-6	1.41118633804142e-6	2.3967497403297e-4	0	0	1000	1	0	0.001	0.0012727272727272728	3.35544963646158e-4	dN	3.55298198198198e-6	5.94206773508442e-7
Neu/DFE1	1000	1000	6	10000	20000	10000	0.0710596396396396	0.0873633633633633	1000	0.406690155369174	-5.18335435435435e-6	5.94206773508442e-7	1.36412182062637e-6	0.0902219588528814	6.55456767822124e-6	1.41118633804142e-6	2.3967497403297e-4	0	0	1000	1	0	0.001	0.0012727272727272728	3.35544963646158e-4	dS	8.73633633633633e-6	1.36412182062637e-6
Neu/DFE2	100	1000	6	10000	20000	10000	0.0383858585858586	0.0974767676767677	1000	0.19689747362749	-7.82838383838384e-6	4.59685119434297e-7	1.40701373854182e-6	0.0570598931184773	5.59102024123563e-4	1.46525453953203e-6	9.15831429361536e-8	0	0	1000	1	0	0.001	0.0012727272727272728	1.831662858723072e-7	dN	1.91929292929293e-6	4.59685119434297e-7
Neu/DFE2	100	1000	6	10000	20000	10000	0.0383858585858586	0.0974767676767677	1000	0.19689747362749	-7.82838383838384e-6	4.59685119434297e-7	1.40701373854182e-6	0.0570598931184773	5.59102024123563e-4	1.46525453953203e-6	9.15831429361536e-8	0	0	1000	1	0	0.001	0.0012727272727272728	1.831662858723072e-7	dS	9.74767676767677e-6	1.40701373854182e-6
Neu/DFE2	1000	1000	6	10000	20000	10000	0.0284096496496497	0.0766267267267267	1000	0.185376896960291	-6.24219019019019e-6	4.2645909934108e-7	1.36493398130059e-6	0.0721687066418345	0.0102092460036713	1.42709602520794e-6	1.21962103691679e-5	0	0	1000	1	0	0.001	0.0012727272727272728	1.89718827964834e-5	dN	1.42048248248248e-6	4.2645909934108e-7
Neu/DFE2	1000	1000	6	10000	20000	10000	0.0284096496496497	0.0766267267267267	1000	0.185376896960291	-6.24219019019019e-6	4.2645909934108e-7	1.36493398130059e-6	0.0721687066418345	0.0102092460036713	1.42709602520794e-6	1.21962103691679e-5	0	0	1000	1	0	0.001	0.0012727272727272728	1.89718827964834e-5	dS	7.66267267267267e-6	1.36493398130059e-6
Sel/DFE1	100	1000	6	10000	20000	10000	0.743264646464645	0.74174407440744	1000	0.501024997778661	-3.70111751175117e-5	2.04090958081934e-6	4.4643917672459e-6	0.0421082520806627	1.20494820942024e-32	4.87557648212531e-6	3.17107393427804e-14	0	0	1000	1	0	0.001	0.0012727272727272728	8.879007015978512e-14	dN	3.71632323232323e-5	2.04090958081934e-6
Sel/DFE1	100	1000	6	10000	20000	10000	0.743264646464645	0.74174407440744	1000	0.501024997778661	-3.70111751175117e-5	2.04090958081934e-6	4.4643917672459e-6	0.0421082520806627	1.20494820942024e-32	4.87557648212531e-6	3.17107393427804e-14	0	0	1000	1	0	0.001	0.0012727272727272728	8.879007015978512e-14	dS	7.4174407440744e-5	4.4643917672459e-6
Sel/DFE1	1000	1000	6	10000	20000	10000	0.664177297297297	0.641227427427427	1000	0.517895265305435	-3.09138778778778e-5	2.0791650295439e-6	4.5088688954265e-6	0.0464243331323215	6.71729974482429e-29	4.69542603112948e-6	4.58487171143421e-11	0	0	1000	1	0	0.001	0.0012727272727272728	1.069803399334649e-10	dN	3.32088648648649e-5	2.0791650295439e-6
Sel/DFE1	1000	1000	6	10000	20000	10000	0.664177297297297	0.641227427427427	1000	0.517895265305435	-3.09138778778778e-5	2.0791650295439e-6	4.5088688954265e-6	0.0464243331323215	6.71729974482429e-29	4.69542603112948e-6	4.58487171143421e-11	0	0	1000	1	0	0.001	0.0012727272727272728	1.069803399334649e-10	dS	6.41227427427427e-5	4.5088688954265e-6
Sel/DFE2	100	1000	6	10000	20000	10000	0.231121212121212	0.679266666666666	1000	0.170125536451967	-5.6370606060606e-5	1.15894465425039e-6	4.27998706193914e-6	0.0198681258129291	1.1021914251149601e-17	4.2689926223652e-6	8.246869107630609e-40	0	0	1000	1	0	0.001	0.0012727272727272728	3.848538916894284e-39	dN	1.15560606060606e-5	1.15894465425039e-6
Sel/DFE2	100	1000	6	10000	20000	10000	0.231121212121212	0.679266666666666	1000	0.170125536451967	-5.6370606060606e-5	1.15894465425039e-6	4.27998706193914e-6	0.0198681258129291	1.1021914251149601e-17	4.2689926223652e-6	8.246869107630609e-40	0	0	1000	1	0	0.001	0.0012727272727272728	3.848538916894284e-39	dS	6.79266666666666e-5	4.27998706193914e-6
Sel/DFE2	1000	1000	6	10000	20000	10000	0.190314694694695	0.612959859859859	1000	0.155242379768723	-5.17802512512512e-5	1.09322098777109e-6	4.08418209741521e-6	0.0197892995923954	4.3376937252482e-15	4.11637926630013e-6	2.7522717263246097e-36	0	0	1000	1	0	0.001	0.0012727272727272728	9.632951042136134e-36	dN	9.51573473473474e-6	1.09322098777109e-6
