DFE	s
DFE1	-0.49999058528337625
DFE1	-0.9156484209233895
DFE1	-0.11078530892264093
DFE1	-0.20143962237052615
DFE1	-0.20888422236312176
DFE1	-0.1078527544625103
DFE1	-0.35174319276120514
DFE1	-0.9759640521602705
DFE1	-0.9636283713160083
DFE1	-0.3658985623624176
DFE1	-0.6896171775646507
DFE1	-0.99091084189713
DFE1	-0.3619355115806684
DFE1	-0.8215358853107319
DFE1	-0.8498358361655847
DFE1	-0.4197615203913301
DFE1	-0.5324946391396224
DFE1	-0.16986164203844967
DFE1	-0.5253265679813921
DFE1	-0.5069859364302829
DFE1	-0.3105077541666105
DFE1	-0.22509395871311422
DFE1	-0.8519262700341642
DFE1	-0.9932269077980891
DFE1	-0.27559436687733974
DFE1	-0.9232047738973052
DFE1	-0.480925556551665
DFE1	-0.20927646337077022
DFE1	-0.9942623347742483
DFE1	-0.6068763067014515
DFE1	-0.2348683931399137
DFE1	-0.7259935233741999
DFE1	-0.6966079691657796
DFE1	-0.7989567887270823
DFE1	-0.21484607835300262
DFE1	-0.19283632715232668
DFE1	-0.2539928944082931
DFE1	-0.8005135202081874
DFE1	-0.727016777312383
DFE1	-0.34038648426067086
DFE1	-0.9172442051582038
DFE1	-0.15060820509679618
DFE1	-0.40292243952862916
DFE1	-0.5863846906227991
DFE1	-0.3699942871462554
DFE1	-0.5249043740332127
DFE1	-0.6023630483075977
DFE1	-0.7841013093478978
DFE1	-0.5055271556600929
DFE1	-0.48193037847522646
DFE1	-0.5735981564270332
DFE1	-0.4136507733026519
DFE1	-0.5041661648778244
DFE1	-0.16843545094598078
DFE1	-0.5265662206569686
DFE1	-0.3211098646512255
DFE1	-0.42813256983645254
DFE1	-0.8873787306249141
DFE1	-0.10391968532931062
DFE1	-0.4639262610580772
DFE1	-0.4045608346350491
DFE1	-0.46161321871913963
DFE1	-0.7617643403820693
DFE1	-0.9086203914601356
DFE1	-0.4543386364122852
DFE1	-0.36500117108225816
DFE1	-0.2528570352587849
DFE1	-0.19043519415427002
DFE1	-0.3954982878174632
DFE1	-0.7598617311334237
DFE1	-0.30838217749260366
DFE1	-0.9956013547023759
DFE1	-0.2054215313866734
DFE1	-0.9828705044230446
DFE1	-0.26926659408491105
DFE1	-0.7299902180675417
DFE1	-0.46834693776909264
DFE1	-0.14400060980115081
DFE1	-0.27283149922732264
DFE1	-0.3495407487964257
DFE1	-0.8835666664177552
DFE1	-0.25936532176565374
DFE1	-0.7782271794043482
DFE1	-0.9046032964717596
DFE1	-0.2617944126017392
DFE1	-0.7574281804962084
DFE1	-0.7105395350372419
DFE1	-0.3437293083639815
DFE1	-0.11592794766183945
DFE1	-0.6706811132142321
DFE1	-0.6218453728128224
DFE1	-0.918700915388763
DFE1	-0.48799616000615054
DFE1	-0.6466334709431976
DFE1	-0.6455472544534131
DFE1	-0.224182786536403
DFE1	-0.28255684399046
DFE1	-0.9210541378473863
DFE1	-0.7909221377456561
DFE1	-0.8109071897342801
DFE1	-0.4651952089043334
DFE1	-0.9531443035928533
DFE1	-0.27382599757984283
DFE1	-0.6287131293909625
DFE1	-0.4559770168503746
DFE1	-0.6717375226086005
DFE1	-0.7309188491199166
DFE1	-0.9909312373725697
DFE1	-0.15199474727269258
DFE1	-0.8965253118891269
DFE1	-0.5992781026754528
DFE1	-0.8795138125540689
DFE1	-0.41694903941825034
DFE1	-0.3790184123674407
DFE1	-0.22594546829350293
DFE1	-0.5362380073638633
DFE1	-0.6530560983810574
DFE1	-0.7648776952177286
DFE1	-0.4078880162211135
DFE1	-0.3688938425853848
DFE1	-0.9655976516893133
DFE1	-0.1641198443248868
DFE1	-0.20449493315536527
DFE1	-0.3275333740748465
DFE1	-0.20461728421505543
DFE1	-0.23758277294691654
DFE1	-0.27833705886732785
DFE1	-0.9295384370721876
DFE1	-0.7936342615634203
DFE1	-0.7297045181738213
DFE1	-0.11834047145675863
DFE1	-0.8883344838395715
DFE1	-0.8083908395143226
DFE1	-0.1169309660093859
DFE1	-0.2839152940083295
DFE1	-0.6718010467477142
DFE1	-0.25603113856632265
DFE1	-0.7883744983002543
DFE1	-0.41062906724400816
DFE1	-0.334011514019221
DFE1	-0.10220882929861541
DFE1	-0.6093682083766907
DFE1	-0.8416091478196904
DFE1	-0.8830505892867222
DFE1	-0.13997855901252476
DFE1	-0.7196800350211561
DFE1	-0.5551485307980328
DFE1	-0.248973647551611
DFE1	-0.5501702959649264
DFE1	-0.9521466211648658
DFE1	-0.6838784358929842
DFE1	-0.2684775686590001
DFE1	-0.3358484586002305
DFE1	-0.9187923556659371
DFE1	-0.24841368193738156
DFE1	-0.14269259767606857
DFE1	-0.9595000727800652
DFE1	-0.42410808661952615
DFE1	-0.9310730028199032
DFE1	-0.28464126216713337
DFE1	-0.9257803064305336
DFE1	-0.7785780408419669
DFE1	-0.117585421865806
DFE1	-0.5491416084580123
DFE1	-0.44799244962632656
DFE1	-0.9794154091272503
DFE1	-0.4034720700467005
DFE1	-0.7161555687896908
DFE1	-0.6444757827790454
DFE1	-0.8921338645508513
