parameters	replicate	random_seed
DFE/DFE1	1	1912976276072
DFE/DFE1	10	1919296897776
DFE/DFE1	100	1997514629585
DFE/DFE1	11	1919866965276
DFE/DFE1	12	1920757038371
DFE/DFE1	13	1921447113927
DFE/DFE1	14	1922237190457
DFE/DFE1	15	1922967258211
DFE/DFE1	16	1923577326307
DFE/DFE1	17	1924277395423
DFE/DFE1	18	1925017464959
DFE/DFE1	19	1925727535807
DFE/DFE1	2	1913666337657
DFE/DFE1	20	1926587611403
DFE/DFE1	21	1927417686728
DFE/DFE1	22	1928317760037
DFE/DFE1	23	1929057835656
DFE/DFE1	24	1929767909153
DFE/DFE1	25	1930507985045
DFE/DFE1	26	1931228060131
DFE/DFE1	27	1931968135454
DFE/DFE1	28	1932668210772
DFE/DFE1	29	1933428288430
DFE/DFE1	3	1914346403830
DFE/DFE1	30	1934178359657
DFE/DFE1	31	1934998431866
DFE/DFE1	32	1936108506089
DFE/DFE1	33	1936798584953
DFE/DFE1	34	1937658660653
DFE/DFE1	35	1938408734646
DFE/DFE1	36	1939098798647
DFE/DFE1	37	1939778873037
DFE/DFE1	38	1940588954647
DFE/DFE1	39	1941399035936
DFE/DFE1	4	1914916471837
DFE/DFE1	40	1942339129315
DFE/DFE1	41	1943239224884
DFE/DFE1	42	1944229319532
DFE/DFE1	43	1945119415068
DFE/DFE1	44	1945979508668
DFE/DFE1	45	1947109602371
DFE/DFE1	46	1947949695385
DFE/DFE1	47	1948819790087
DFE/DFE1	48	1949739881962
DFE/DFE1	49	1950689976629
DFE/DFE1	5	1915716544219
DFE/DFE1	50	1951530071568
DFE/DFE1	51	1952540165321
DFE/DFE1	52	1953510263485
DFE/DFE1	53	1954430357982
DFE/DFE1	54	1955290446875
DFE/DFE1	55	1956040532750
DFE/DFE1	56	1956730603815
DFE/DFE1	57	1957690689765
DFE/DFE1	58	1958840794920
DFE/DFE1	59	1959730887269
DFE/DFE1	6	1916436617091
DFE/DFE1	60	1960670975404
DFE/DFE1	61	1961551063796
DFE/DFE1	62	1962571154607
DFE/DFE1	63	1963421234253
DFE/DFE1	64	1964201318914
DFE/DFE1	65	1965001400741
DFE/DFE1	66	1966001492128
DFE/DFE1	67	1966891583818
DFE/DFE1	68	1967931679681
DFE/DFE1	69	1968871773588
DFE/DFE1	7	1917116693892
DFE/DFE1	70	1969861867912
DFE/DFE1	71	1970781963110
DFE/DFE1	72	1971662055301
DFE/DFE1	73	1972602149340
DFE/DFE1	74	1973462242693
DFE/DFE1	75	1974452336031
DFE/DFE1	76	1975462429694
DFE/DFE1	77	1976322522602
DFE/DFE1	78	1977232619368
DFE/DFE1	79	1978302713021
DFE/DFE1	8	1917866763401
DFE/DFE1	80	1979412805213
DFE/DFE1	81	1980372898956
DFE/DFE1	82	1981062972435
DFE/DFE1	83	1981863048539
DFE/DFE1	84	1982553121790
DFE/DFE1	85	1983323195170
DFE/DFE1	86	1984203289228
DFE/DFE1	87	1985203385413
DFE/DFE1	88	1986243484770
DFE/DFE1	89	1987193579250
DFE/DFE1	9	1918636829766
DFE/DFE1	90	1988043674983
DFE/DFE1	91	1988973770911
DFE/DFE1	92	1989913865279
DFE/DFE1	93	1990853959188
DFE/DFE1	94	1991744052792
DFE/DFE1	95	1992604146017
DFE/DFE1	96	1993634242070
DFE/DFE1	97	1994614337702
DFE/DFE1	98	1995634434538
DFE/DFE1	99	1996574534280
DFE/DFE2	1	1939678857123
DFE/DFE2	10	1947319627339
DFE/DFE2	100	2022817231548
DFE/DFE2	11	1948159716168
DFE/DFE2	12	1949049804694
DFE/DFE2	13	1949929892679
DFE/DFE2	14	1950719981572
DFE/DFE2	15	1951540072073
DFE/DFE2	16	1952450160087
DFE/DFE2	17	1953410253797
DFE/DFE2	18	1954260343564
DFE/DFE2	19	1954980425187
DFE/DFE2	2	1940348933945
DFE/DFE2	20	1955850511587
DFE/DFE2	21	1956480578410
DFE/DFE2	22	1957320655628
DFE/DFE2	23	1958400754742
DFE/DFE2	24	1959330847206
DFE/DFE2	25	1960300934723
DFE/DFE2	26	1961061016451
DFE/DFE2	27	1961881098516
DFE/DFE2	28	1962921183087
DFE/DFE2	29	1963621258802
DFE/DFE2	3	1941119010071
DFE/DFE2	30	1964451338589
DFE/DFE2	31	1965231415041
DFE/DFE2	32	1966101503621
DFE/DFE2	33	1967011590458
DFE/DFE2	34	1967941680192
DFE/DFE2	35	1968851768306
DFE/DFE2	36	1969671855787
DFE/DFE2	37	1970571945029
DFE/DFE2	38	1971462033979
DFE/DFE2	39	1972302121431
DFE/DFE2	4	1941939095430
DFE/DFE2	40	1973162209380
DFE/DFE2	41	1974092297069
DFE/DFE2	42	1974982384563
DFE/DFE2	43	1975822473841
DFE/DFE2	44	1976762561187
DFE/DFE2	45	1977572649274
DFE/DFE2	46	1978522737095
DFE/DFE2	47	1979652824999
DFE/DFE2	48	1980592913312
DFE/DFE2	49	1981192982073
DFE/DFE2	5	1942819184673
DFE/DFE2	50	1981883050302
DFE/DFE2	51	1982533118975
DFE/DFE2	52	1983223186618
DFE/DFE2	53	1984073275194
DFE/DFE2	54	1984943364971
DFE/DFE2	55	1986023457910
DFE/DFE2	56	1986893546924
DFE/DFE2	57	1987653636240
DFE/DFE2	58	1988523725046
DFE/DFE2	59	1989373814267
DFE/DFE2	6	1943749273970
DFE/DFE2	60	1990283903599
DFE/DFE2	61	1991163993790
DFE/DFE2	62	1992034082854
DFE/DFE2	63	1992894173465
DFE/DFE2	64	1993834263455
DFE/DFE2	65	1994824353125
DFE/DFE2	66	1995664440388
DFE/DFE2	67	1996624535726
DFE/DFE2	68	1997504625295
DFE/DFE2	69	1998314713588
DFE/DFE2	7	1944599363078
DFE/DFE2	70	1999134796047
DFE/DFE2	71	1999974878138
DFE/DFE2	72	2000724960115
DFE/DFE2	73	2001535041446
DFE/DFE2	74	2002275123563
DFE/DFE2	75	2003085205755
DFE/DFE2	76	2003925286067
DFE/DFE2	77	2004795369140
DFE/DFE2	78	2005595451082
DFE/DFE2	79	2006385532147
DFE/DFE2	8	1945519450637
DFE/DFE2	80	2007155615631
DFE/DFE2	81	2007915697229
DFE/DFE2	82	2008785779508
DFE/DFE2	83	2009535862268
DFE/DFE2	84	2010325944367
DFE/DFE2	85	2011126026658
DFE/DFE2	86	2011876109173
DFE/DFE2	87	2012776191654
DFE/DFE2	88	2013546273930
DFE/DFE2	89	2014306356540
DFE/DFE2	9	1946369537900
DFE/DFE2	90	2015096436990
DFE/DFE2	91	2015856519478
DFE/DFE2	92	2016656601252
DFE/DFE2	93	2017526684589
DFE/DFE2	94	2018296768315
DFE/DFE2	95	2019126851723
DFE/DFE2	96	2019836925036
DFE/DFE2	97	2020456988834
DFE/DFE2	98	2021297067534
DFE/DFE2	99	2022037149496
DFE_beneficial/DFE1	1	1939488838820
DFE_beneficial/DFE1	10	1952550169015
DFE_beneficial/DFE1	100	2074652511103
DFE_beneficial/DFE1	11	1954040320771
DFE_beneficial/DFE1	12	1955580477747
DFE_beneficial/DFE1	13	1956590592863
DFE_beneficial/DFE1	14	1958380752160
DFE_beneficial/DFE1	15	1960000905822
DFE_beneficial/DFE1	16	1961341042717
DFE_beneficial/DFE1	17	1962931187581
