parameters	replicate random_seed
BloomDFE	1	1766611669493
BloomDFE	10	1766741673009
BloomDFE	100	1767671701831
BloomDFE	11	1766751673220
BloomDFE	12	1766761673456
BloomDFE	13	1766771673660
BloomDFE	14	1766781673896
BloomDFE	15	1766791674144
BloomDFE	16	1766801674403
BloomDFE	17	1766811674577
BloomDFE	18	1766821674779
BloomDFE	19	1766831675025
BloomDFE	2	1766621669763
BloomDFE	20	1766841675292
BloomDFE	21	1766851675523
BloomDFE	22	1766861675730
BloomDFE	23	1766871676095
BloomDFE	24	1766881676374
BloomDFE	25	1766891676561
BloomDFE	26	1766901676799
BloomDFE	27	1766911677071
BloomDFE	28	1766921677412
BloomDFE	29	1766931677614
BloomDFE	3	1766631670258
BloomDFE	30	1766941677800
BloomDFE	31	1766951678273
BloomDFE	32	1766961678935
BloomDFE	33	1766981679322
BloomDFE	34	1766991679579
BloomDFE	35	1767001679784
BloomDFE	36	1767011680083
BloomDFE	37	1767021680304
BloomDFE	38	1767031681054
BloomDFE	39	1767041681308
BloomDFE	4	1766641670524
BloomDFE	40	1767051681700
BloomDFE	41	1767061681969
BloomDFE	42	1767071682393
BloomDFE	43	1767081683026
BloomDFE	44	1767091683484
BloomDFE	45	1767101683758
BloomDFE	46	1767111683923
BloomDFE	47	1767121684217
BloomDFE	48	1767131684443
BloomDFE	49	1767141684633
BloomDFE	5	1766651670909
BloomDFE	50	1767151684853
BloomDFE	51	1767161685201
BloomDFE	52	1767171685558
BloomDFE	53	1767181685972
BloomDFE	54	1767191686252
BloomDFE	55	1767201686462
BloomDFE	56	1767211686622
BloomDFE	57	1767221687012
BloomDFE	58	1767231687216
BloomDFE	59	1767241687381
BloomDFE	6	1766671671271
BloomDFE	60	1767251687801
BloomDFE	61	1767261687979
BloomDFE	62	1767271688646
BloomDFE	63	1767281688988
BloomDFE	64	1767291689171
BloomDFE	65	1767301689581
BloomDFE	66	1767311689771
BloomDFE	67	1767321690046
BloomDFE	68	1767331690514
BloomDFE	69	1767341690961
BloomDFE	7	1766681671500
BloomDFE	70	1767351691350
BloomDFE	71	1767361691550
BloomDFE	72	1767371692058
BloomDFE	73	1767381692285
BloomDFE	74	1767391692680
BloomDFE	75	1767401692895
BloomDFE	76	1767411693094
BloomDFE	77	1767421693443
BloomDFE	78	1767431693607
BloomDFE	79	1767441693792
BloomDFE	8	1766691671687
BloomDFE	80	1767461694788
BloomDFE	81	1767471695104
BloomDFE	82	1767481695310
BloomDFE	83	1767491695509
BloomDFE	84	1767501695764
BloomDFE	85	1767511696006
BloomDFE	86	1767521696258
BloomDFE	87	1767531696478
BloomDFE	88	1767541696861
BloomDFE	89	1767551697616
BloomDFE	9	1766701672560
BloomDFE	90	1767561697938
BloomDFE	91	1767571698210
BloomDFE	92	1767581698512
BloomDFE	93	1767591698850
BloomDFE	94	1767601699124
BloomDFE	95	1767611699756
BloomDFE	96	1767631700733
BloomDFE	97	1767641701070
BloomDFE	98	1767651701251
BloomDFE	99	1767661701519
