parameters	replicate	random_seed
Flynn10pct	1	2005563264186
Flynn10pct	10	2005703270834
Flynn10pct	100	2006663330899
Flynn10pct	11	2005713271155
Flynn10pct	12	2005723271611
Flynn10pct	13	2005733272004
Flynn10pct	14	2005743273193
Flynn10pct	15	2005753273731
Flynn10pct	16	2005763274980
Flynn10pct	17	2005773275600
Flynn10pct	18	2005783276242
Flynn10pct	19	2005793276605
Flynn10pct	2	2005573265081
Flynn10pct	20	2005803277784
Flynn10pct	21	2005813278677
Flynn10pct	22	2005823279423
Flynn10pct	23	2005833280202
Flynn10pct	24	2005843280784
Flynn10pct	25	2005853281319
Flynn10pct	26	2005863281761
Flynn10pct	27	2005873282374
Flynn10pct	28	2005883282840
Flynn10pct	29	2005893284039
Flynn10pct	3	2005583266014
Flynn10pct	30	2005903284542
Flynn10pct	31	2005913285247
Flynn10pct	32	2005923286101
Flynn10pct	33	2005933286556
Flynn10pct	34	2005943287082
Flynn10pct	35	2005953287867
Flynn10pct	36	2005963288317
Flynn10pct	37	2005973288907
Flynn10pct	38	2005983289698
Flynn10pct	39	2005993290331
Flynn10pct	4	2005593266476
Flynn10pct	40	2006003291295
Flynn10pct	41	2006013291945
Flynn10pct	42	2006023292985
Flynn10pct	43	2006033293394
Flynn10pct	44	2006043293973
Flynn10pct	45	2006053294323
Flynn10pct	46	2006063295251
Flynn10pct	47	2006073295818
Flynn10pct	48	2006083296289
Flynn10pct	49	2006093296691
Flynn10pct	5	2005603266879
Flynn10pct	50	2006103297312
Flynn10pct	51	2006113297835
Flynn10pct	52	2006123298362
Flynn10pct	53	2006133298925
Flynn10pct	54	2006143299463
Flynn10pct	55	2006153300721
Flynn10pct	56	2006163301482
Flynn10pct	57	2006173302226
Flynn10pct	58	2006193302693
Flynn10pct	59	2006203303571
Flynn10pct	6	2005613267420
Flynn10pct	60	2006213304096
Flynn10pct	61	2006223304785
Flynn10pct	62	2006233305386
Flynn10pct	63	2006243305959
Flynn10pct	64	2006253307333
Flynn10pct	65	2006273307716
Flynn10pct	66	2006283308325
Flynn10pct	67	2006293308961
Flynn10pct	68	2006303309596
Flynn10pct	69	2006313310458
Flynn10pct	7	2005643268691
Flynn10pct	70	2006323311136
Flynn10pct	71	2006333311885
Flynn10pct	72	2006343312461
Flynn10pct	73	2006353313740
Flynn10pct	74	2006393314305
Flynn10pct	75	2006403314884
Flynn10pct	76	2006413315274
Flynn10pct	77	2006423315981
Flynn10pct	78	2006433316591
Flynn10pct	79	2006453317325
Flynn10pct	8	2005653269065
Flynn10pct	80	2006463317866
Flynn10pct	81	2006473318944
Flynn10pct	82	2006483319754
Flynn10pct	83	2006493320570
Flynn10pct	84	2006503321284
Flynn10pct	85	2006513321884
Flynn10pct	86	2006523322418
Flynn10pct	87	2006533322806
Flynn10pct	88	2006543323707
Flynn10pct	89	2006553324550
Flynn10pct	9	2005673269758
Flynn10pct	90	2006563325099
Flynn10pct	91	2006573325725
Flynn10pct	92	2006583326351
Flynn10pct	93	2006593327084
Flynn10pct	94	2006603327548
Flynn10pct	95	2006613328422
Flynn10pct	96	2006623328952
Flynn10pct	97	2006633329499
Flynn10pct	98	2006643329940
Flynn10pct	99	2006653330400
