model	sample_size	codon	codon_num	N_diffs	S_diffs	N_sites	S_sites	num_defined_seqs	sw_ratio	sw_start	sw_center	sw_end	sw_num_replicates	sw_N_diffs	sw_S_diffs	sw_N_sites	sw_S_sites	sw_dN	sw_dS	sw_dNdS	sw_dN_m_dS	sw_boot_dN_SE	sw_boot_dS_SE	sw_boot_dN_over_dS_SE	sw_boot_dN_over_dS_P	sw_boot_dN_m_dS_SE	sw_boot_dN_m_dS_P	sw_boot_dN_gt_dS_count	sw_boot_dN_eq_dS_count	sw_boot_dN_lt_dS_count	sw_ASL_dN_gt_dS_P	sw_ASL_dN_lt_dS_P	sw_ASL_dNdS_P
Emp/BloomDFE	100	1	1	0	0	2	1	100	piNpiS	1	15.5	30	1000	0.004006060606060606	0.004860606060606058	60	30	6.67676767676768e-5	1.62020202020202e-4	0.41209476309227	-9.52525252525252e-5	3.41065316912943e-5	8.10372295669574e-5	NA	NA	9.02098141216605e-5	0.291013992669214	138	0	862	0.862	0.138	0.276
Emp/BloomDFE	100	2	2	0	0	2	1	100	piNpiS	2	16.5	31	1000	0.004006060606060606	0.004860606060606058	60	30	6.67676767676768e-5	1.62020202020202e-4	0.41209476309227	-9.52525252525252e-5	3.44712638835756e-5	8.105059006755e-5	NA	NA	8.88008308551982e-5	0.283426594677595	132	1	867	0.867	0.132	0.264
Emp/BloomDFE	100	3	3	0	0	2	1	100	piNpiS	3	17.5	32	1000	0.004593939393939393	0.004860606060606058	60	30	7.65656565656565e-5	1.62020202020202e-4	0.472568578553616	-8.54545454545454e-5	3.54045841753869e-5	8.32922535558395e-5	NA	NA	9.00048805705079e-5	0.342395114134634	189	0	811	0.811	0.189	0.378
Emp/BloomDFE	100	4	4	0.0016545454545454552	0	2	1	100	piNpiS	4	18.5	33	1000	0.0051818181818181815	0.004860606060606058	60	30	8.63636363636364e-5	1.62020202020202e-4	0.533042394014963	-7.56565656565656e-5	3.4512343508831e-5	8.61658407877081e-5	NA	NA	8.776615283899e-5	0.388674088341064	196	0	804	0.804	0.196	0.392
Emp/BloomDFE	100	5	5	0	0	2	1	100	piNpiS	5	19.5	34	1000	0.003527272727272726	0.004860606060606058	60	30	5.87878787878788e-5	1.62020202020202e-4	0.36284289276808	-1.03232323232323e-4	2.54656170516201e-5	8.16535025725238e-5	NA	NA	8.38875066224601e-5	0.218470910196043	110	0	890	0.89	0.11	0.22
Emp/BloomDFE	100	6	6	0	0.0011393939393939388	2	1	100	piNpiS	6	20.5	35	1000	0.003527272727272726	0.004860606060606058	60	30	5.87878787878788e-5	1.62020202020202e-4	0.36284289276808	-1.03232323232323e-4	2.54361642204771e-5	7.87894111976568e-5	NA	NA	8.51887610635553e-5	0.225586329924217	97	0	903	0.903	0.097	0.194
Emp/BloomDFE	100	7	7	0	0	2	1	100	piNpiS	7	21.5	36	1000	0.003527272727272726	0.003721212121212119	60	30	5.87878787878788e-5	1.24040404040404e-4	0.473941368078176	-6.52525252525252e-5	2.60252332422011e-5	7.79941353420474e-5	NA	NA	7.82701609715265e-5	0.404459477215886	189	0	811	0.811	0.189	0.378
Emp/BloomDFE	100	8	8	0	0	2	1	100	piNpiS	8	22.5	37	1000	0.003527272727272726	0.004496969696969695	60	30	5.87878787878788e-5	1.4989898989899e-4	0.392183288409704	-9.11111111111111e-5	2.55341868818965e-5	7.88034769347046e-5	NA	NA	8.15824911490862e-5	0.264080975942501	115	0	885	0.885	0.115	0.23
Emp/BloomDFE	100	9	9	5.878787878787872e-4	0	2	1	100	piNpiS	9	23.5	38	1000	0.003527272727272726	0.008478787878787877	60	30	5.87878787878788e-5	2.82626262626263e-4	0.208005718370264	-2.23838383838384e-4	2.55510866836849e-5	1.45458727353605e-4	NA	NA	1.48000288470449e-4	0.130427415108577	43	0	957	0.957	0.043	0.086
Emp/BloomDFE	100	10	10	0	0	2	1	100	piNpiS	10	24.5	39	1000	0.0029393939393939387	0.009066666666666666	60	30	4.8989898989899e-5	3.02222222222222e-4	0.162098930481283	-2.53232323232323e-4	2.35346262122887e-5	1.39992695549336e-4	NA	NA	1.50295100371426e-4	0.0920077271345058	23	0	977	0.977	0.023	0.046
